Location Name,Category 1,Narrative 1,Category 2,Narrative 2,Category 3,Narrative 3,Category 4 ,Narrative 4,FIDS STATUS,Departure Status,Airline,Audiofile Name
Abame,Environment,Colonized,Atmosphere,Tragic,Weather,Tropical,Terrain,Forest and farmland,Canceled,Canceled,PANACHE,
Absurdistan,Transport,One extra wide lumbar-supporting seat,Distance from Austin,"7,127 miles",Weather,Cash falling like snowflakes upon the ruling class,Terrain,Oil-rich shorelines and corroded desert vistas,On Time,Normal,DYSTOPIAir,
Airstrip One,Transport,Party aeroplane and helicopter,Distance from Austin,"4,912 miles",Atmosphere,Paranoia,Environment,Terrified Silence,On Time,Normal,DYSTOPIAir,
All-World,Transport,Blaine the Mono    ,Distance from Austin,Still thousands of wheels ahead,Atmosphere,"Blinding deserts, mutated wastes, and bloody burning skies",Terrain,"A landscape of stray fictions tethered by one endless quest
",On Time,Normal,IncorpoREAL,
Alphabet Island,Transport,26 letters! ,Weather,Sunny days and full-moon nights,Terrain,A tropical island chock-full of coconuts!,Duration of trip,Feels like a moment with family and friends,On Time,Normal,AirLinguist,
Anarres,Transport,Hainish spaceship,Duration of trip,Eleven years at near-light speed,Weather,"Dry, cold, and windy
",Atmosphere,Thin,On Time,Normal,UTOPIAir,
Ankh-Morpork,Transport,Distortions in space-time,Distance from Austin,"Too close or too far, depending on your preference",Weather,"Absolutely dreadful or utterly fantastic, depending on your perspective",Duration of trip,Just long enough to get on your nerves,On Time,Normal,Spellbound AIRLINES,
Arrakis,Transport,Spacing Guild Liner,Duration of trip,Instantaneous,Weather,"No precipitation, no water",Environment,A wasteland of nothing but spice and sandworms,On Time,Normal,QUANTUM,
Asteroid B-612,Location,At the end of an astronomer’s telescope,Transport,A flock of wild birds,Atmosphere,Constant sunrises and sunsets,Environment,As small as a house,On Time,Normal,WISTFUL,
Atlantis ,Location,In the Atlantic Ocean near the straits called the Pillars of Heracles,Weather,Portentous earthquakes and floods,Terrain,Larger than Libya and Asia together,Atmosphere,A confederation of kings of great and marvellous power,Canceled,Canceled,ODDYSSEY,
Avonlea,Location,A triangular peninsula jutting into the Gulf of St. Lawrence,Atmosphere,Gossipy,Environment,Under the watchful eye of Mrs. Rachel,Terrain,Down a little hollow fringed with alders,On Time,Normal,JANEAIR,
Azeroth,Transport,The Dark Portal,Atmosphere,Skies ablaze with the bonfires of war,Environment,"Keeps and spires, shires and swamps",Location,Beyond the Great Sea and the Red Ridge Mountains,Delayed,Normal,Spellbound AIRLINES,
